DistrictName,ProvinceId
Chibombo,1
Chisamba,1
Chitambo,1
Itezhi-Tezhi,1
Kabwe,1
Kapiri Mposhi,1
Luano,1
Mkushi,1
Mumbwa,1
Ngabwe,1
Serenje,1
Shibuyunji,1
Chililabombwe,2
Chingola,2
Kalulushi,2
Kitwe,2
Luanshya,2
Lufwanyama,2
Masaiti,2
Mpongwe,2
Mufulira,2
Ndola,2
Chadiza,3
Chasefu,3
Chipangali,3
Chipata,3
Kansenengwa,3
Katete,3
Lumezi,3
Lundazi,3
Lusangazi,3
Mambwe,3
Nyimba,3
Petauke,3
Sinda,3
Vubwi,3
Chembe,4
Chiengi,4
Chifunabuli,4
Chipili,4
Kamwambwa,4
Lunga,4
Mansa,4
Milenge,4
Mwansabombwe,4
Mwense,4
Nchelenge,4
Samfya,4
Chilanga,5
Chirundu,5
Chongwe,5
Kafue,5
Luangwa,5
Lusaka,5
Rufunsa,5
Chama,6
Chinsali,6
Isoka,6
Kanchibiya,6
Lavushimanda,6
Mafinga,6
Mpika,6
Nakonde,6
Shiwang'andu,6
Chilubi,8
Kaputa,8
Kasama,8
Lunte,8
Lupososhi,8
Luwingu,8
Mbala,8
Mporokoso,8
Mpunlungu,8
Mungwi,8
Nsama,8
Senga,8
Chavuma,7
Ikelenge,7
Kabompo,7
Kasempa,7
Kalumbila,7
Manyinga,7
Mufumbwe,7
Mushindamo,7
Mwiniliunga,7
Solwezi,7
Zambezi,7
Chikankata,9
Choma,9
Gwembe,9
Kalomo,9
Kazangula,9
Livingstone,9
Mazabuka,9
Monze,9
Namwala,9
Pemba,9
Siavonga,9
Sinazongwe,9
Zimba,9
Kalabo,10
Kaoma,10
Limulunga,10
Luampa,10
Lukulu,10
Mitete,10
Mongu,10
Mulobezi,10
Mwandi,10
Nalolo,10
Nkeyema,10
Senanga,10
Sesheke,10
Shang'ombo,10
Sikongo,10
Sioma,10
